"date","product_id","price","company"
2020-11-26, GA502IV-AZ001T,"1,699,000원",ASUS
2020-11-26, NT750QCJ-K58A,"1,797,990원",SAMSUNG
2020-11-26, NT950XCJ-X716A,"2,098,000원",SAMSUNG
2020-11-26,"15M A10SE-i7","1,498,990원",MSI
2020-11-26,"15U50N-KR56K","1,091,820원",LG
2020-11-26,"15UD50N-GX50K","891,870원",LG
2020-11-26,"15ZD90N-VX5BK","1,345,200원",LG
2020-11-26,"17UD70N-G.AX76K","1,735,450원",LG
2020-11-26,"800G5 TWR 6BD60AV","1,123,700원",HP
2020-11-26,AS G512LI-HN065,"1,769,000원",ASUS
2020-11-26,B80FV,"1,533,470원",LG
2020-11-26,DB400T9A i5-9400,"1,100,000원",SAMSUNG
2020-11-26,FA706IU-H7100,"1,448,990원",ASUS
2020-11-26,G512LU-AL043,"1,399,000원",ASUS
2020-11-26,G712LU-EV001,"1,348,990원",ASUS
2020-11-26,G731GT-H7114,"1,149,000원",ASUS
2020-11-26,GA502IU-AZ015T,"1,598,990원",ASUS
2020-11-26,GA502IV-AZ001,"1,680,920원",ASUS
2020-11-26,GF75 Thin 9SCXR,"1,123,000원",MSI
2020-11-26,GP75 Leopard 9SD,"1,349,000원",MSI
2020-11-26,GU502LV-AZ015,"46,240원",ASUS
2020-11-26,GU502LW-HC111T,"2,599,000원",ASUS
2020-11-26,GX550LWS-HC013R,"4,198,990원",ASUS
2020-11-26,GX550LWS-HF046R,"3,799,000원",ASUS
2020-11-26,GX701LXS-HG032T,"3,956,370원",ASUS
2020-11-26,LG 15ZD90N-V.AX7BK,"1,623,110원",LG
2020-11-26,MHK33KH/A,"1,804,200원",APPLE
2020-11-26,NT350XCR-AD5WA,"848,000원",SAMSUNG
2020-11-26,NT550EBV-AD5BA,"880,980원",SAMSUNG
2020-11-26,NT550XCJ-KC24,"746,480원",SAMSUNG
2020-11-26,NT550XCR-AD1WA,"498,990원",SAMSUNG
2020-11-26,NT550XCR-AD2A,"598,000원",SAMSUNG
2020-11-26,NT550XCR-AD5A + NVMe SSD 512GB,"998,000원",SAMSUNG
2020-11-26,NT550XCR-GD5A,"1,199,000원",SAMSUNG
2020-11-26,NT950XCR-G58A,"1,574,290원",SAMSUNG
2020-11-27, DM500S9Z-AD3BA,"549,000원",SAMSUNG
2020-11-27, FA506IU-HN174,"1,199,000원",ASUS
2020-11-27, GA502IV-AZ001T,"1,698,970원",ASUS
2020-11-27, NT750QCJ-K58A,"1,797,990원",SAMSUNG
2020-11-27, NT950XCJ-X716A,"2,097,990원",SAMSUNG
2020-11-27,"15M A10SE-i7","1,699,000원",MSI
2020-11-27,"15U50N-KR56K","1,116,920원",LG
2020-11-27,"15UD50N-GX50K","882,260원",LG
2020-11-27,"15ZD90N-VX5BK","1,362,980원",LG
2020-11-27,"17UD70N-G.AX76K","1,735,450원",LG
2020-11-27,"800G5 TWR 6BD60AV","1,123,680원",HP
2020-11-27,AS G512LI-HN065,"1,769,000원",ASUS
2020-11-27,B80FV,"1,533,470원",LG
2020-11-27,DB400T9A i5-9400,"1,100,000원",SAMSUNG
2020-11-27,FA706IU-H7100,"1,433,400원",ASUS
2020-11-27,G512LU-AL043,"1,399,000원",ASUS
2020-11-27,G712LU-EV001,"1,348,990원",ASUS
2020-11-27,G731GT-H7114,"1,149,000원",ASUS
2020-11-27,GA502IU-AZ015T,"1,598,990원",ASUS
2020-11-27,GA502IV-AZ001,"1,698,990원",ASUS
2020-11-27,GF75 Thin 9SCXR,"1,123,000원",MSI
2020-11-27,GP75 Leopard 9SD,"1,349,000원",MSI
2020-11-27,GU502LV-AZ015,"46,240원",ASUS
2020-11-27,GU502LW-HC111T,"2,599,000원",ASUS
2020-11-27,GX550LWS-HC013R,"4,198,990원",ASUS
2020-11-27,GX550LWS-HF046R,"3,799,000원",ASUS
2020-11-27,GX701LXS-HG032T,"3,956,370원",ASUS
2020-11-27,LG 15ZD90N-V.AX7BK,"1,635,730원",LG
2020-11-27,MHK33KH/A,"1,804,200원",APPLE
2020-11-27,NT350XCR-AD5WA,"848,000원",SAMSUNG
2020-11-27,NT550EBV-AD5BA,"880,980원",SAMSUNG
2020-11-27,NT550XCJ-KC24,"746,450원",SAMSUNG
2020-11-27,NT550XCR-AD1WA,"498,990원",SAMSUNG
2020-11-27,NT550XCR-AD2A,"589,000원",SAMSUNG
2020-11-27,NT550XCR-AD5A + NVMe SSD 512GB,"989,000원",SAMSUNG
2020-11-27,NT550XCR-GD5A,"1,199,000원",SAMSUNG
2020-11-27,NT950XCR-G58A,"1,574,290원",SAMSUNG
2020-11-28, DM500S9Z-AD3BA,"549,000원",SAMSUNG
2020-11-28, FA506IU-HN174,"1,199,000원",ASUS
2020-11-28, GA502IV-AZ001T,"1,699,000원",ASUS
2020-11-28, NT750QCJ-K58A,"1,797,990원",SAMSUNG
2020-11-28, NT950XCJ-X716A,"2,148,990원",SAMSUNG
2020-11-28,"15M A10SE-i7","1,699,000원",MSI
2020-11-28,"15U50N-KR56K","1,094,400원",LG
2020-11-28,"15UD50N-GX50K","863,100원",LG
2020-11-28,"15ZD90N-VX5BK","1,362,990원",LG
2020-11-28,"17UD70N-G.AX76K","1,735,450원",LG
2020-11-28,"800G5 TWR 6BD60AV","1,123,660원",HP
2020-11-28,AS G512LI-HN065,"1,769,000원",ASUS
2020-11-28,B80FV,"1,533,470원",LG
2020-11-28,DB400T9A i5-9400,"1,100,000원",SAMSUNG
2020-11-28,FA706IU-H7100,"1,433,370원",ASUS
2020-11-28,G512LU-AL043,"1,399,000원",ASUS
2020-11-28,G712LU-EV001,"1,348,990원",ASUS
2020-11-28,G731GT-H7114,"1,149,000원",ASUS
2020-11-28,GA502IU-AZ015T,"1,598,950원",ASUS
2020-11-28,GA502IV-AZ001,"1,698,990원",ASUS
2020-11-28,GF75 Thin 9SCXR,"1,123,000원",MSI
2020-11-28,GP75 Leopard 9SD,"1,349,000원",MSI
2020-11-28,GU502LV-AZ015,"46,240원",ASUS
2020-11-28,GU502LW-HC111T,"2,599,000원",ASUS
2020-11-28,GX550LWS-HC013R,"4,198,990원",ASUS
2020-11-28,GX550LWS-HF046R,"3,799,000원",ASUS
2020-11-28,GX701LXS-HG032T,"3,998,990원",ASUS
2020-11-28,LG 15ZD90N-V.AX7BK,"1,635,730원",LG
2020-11-28,MHK33KH/A,"1,804,200원",APPLE
2020-11-28,NT350XCR-AD5WA,"848,000원",SAMSUNG
2020-11-28,NT550EBV-AD5BA,"880,980원",SAMSUNG
